scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,1036.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1037.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1038.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1039.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1040.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1041.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1042.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1043.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1044.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1045.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1046.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1047.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1048.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1049.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1050.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1051.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1052.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1053.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1054.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1055.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1056.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1057.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1058.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1059.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1060.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1061.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1062.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1063.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1064.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1065.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
